Year_Month,Avg_Close,Total_Volume
2015-04,31.8228569,3984542000
2015-05,32.19037495,3816608400
2015-06,31.95170437,3514426800
2015-07,31.33386369,4233122400
2015-08,28.34869058,6427276400
2015-09,28.19940467,4826189200
2015-10,28.33999998,4450048400
2015-11,29.5406249,3002562400
2015-12,27.93170452,3687660800
2016-01,24.60723656,5087392000
2016-02,23.936625,3243450400
2016-03,26.06681824,2984198400
2016-04,26.68476196,3489534800
2016-05,23.7436904,3602686000
2016-06,24.15556821,3117990800
2016-07,24.63912497,2743118400
2016-08,26.91630455,2520514000
2016-09,27.71428562,3872062400
2016-10,28.92678579,2747657200
2016-11,27.53857131,2886220000
2016-12,28.58392861,2435086800
2017-01,29.89249992,2252488000
2017-02,33.42855233,2299874400
2017-03,35.15445659,2246513600
2017-04,35.72171041,1493216400
2017-05,38.05693158,2615927200
2017-06,36.95784049,2736712400
2017-07,37.07487488,1688047600
2017-08,39.75532648,2644276000
2017-09,39.40212498,2721496400
2017-10,39.45431813,2017165200
2017-11,43.10154779,2402653600
2017-12,42.97287502,2124735200
2018-01,43.50130935,2638717600
2018-02,41.90973683,3711577200
2018-03,43.62404796,2854910800
2018-04,42.45857166,2664617200
2018-05,46.38420452,2483905200
2018-06,47.15535718,2110498000
2018-07,47.57785724,1574765600
2018-08,53.33652214,2801275600
2018-09,55.51842137,2715888000
2018-10,55.21141301,3158994000
2018-11,47.80892853,3845305600
2018-12,41.06657932,3595690000
2019-01,38.5415475,3312349600
2019-02,42.93197331,1890162400
2019-03,45.82345254,2603925600
2019-04,50.12904776,2024470800
2019-05,47.81840914,2957826400
2019-06,48.24225006,2060874800
2019-07,51.30409102,1895406800
2019-08,51.2394319,2724326400
2019-09,54.49874973,2170268400
2019-10,58.82163023,2433210800
2019-11,65.63012581,1793326000
2019-12,69.13142758,2388794800
2020-01,77.97904787,2934370400
2020-02,77.81763057,3019279200
2020-03,65.61102295,6280072400
2020-04,68.09654708,3265299200
2020-05,77.49637566,2805936000
2020-06,86.4515901,3243375600
2020-07,95.56624985,3020283200
2020-08,117.2997618,4070061100
2020-09,115.1252365,3885245100
2020-10,116.4131823,2894666500
2020-11,116.8259995,2123077300
2020-12,127.2904549,2322189600
2021-01,133.0368424,2240262000
2021-02,131.5315789,1833855600
2021-03,121.8713037,2650418200
2021-04,131.8128578,1889857500
2021-05,126.784,1711934900
2021-06,129.9586359,1606590000
2021-07,145.1395242,1919035100
2021-08,148.1777274,1461542800
2021-09,148.3061901,1797835100
2021-10,145.5638086,1565079200
2021-11,154.2557162,1691029000
2021-12,173.5527274,2444766700
2022-01,169.8614998,2108446000
2022-02,169.830001,1627516300
2022-03,165.3104354,2180800100
2022-04,166.8209992,1687795600
2022-05,148.4304766,2401040300
2022-06,139.7985731,1749099800
2022-07,149.6704994,1447125400
2022-08,166.8852181,1510239600
2022-09,153.0028556,2084722800
2022-10,145.0133333,1868139700
2022-11,145.8433315,1724847700
2022-12,137.8766665,1675731200
2023-01,135.7789993,1443652500
2023-02,150.9684207,1307198900
2023-03,154.9647821,1520266600
2023-04,165.04579,969709700
2023-05,172.6227278,1275155500
2023-06,184.2833332,1297101100
2023-07,192.4115005,996066400
2023-08,181.0839134,1322439400
2023-09,177.0025009,1337586600
2023-10,174.6686381,1172719600
2023-11,185.8795231,1099586100
2023-12,194.3085014,1062774800
2024-01,187.7242839,1187219300
2024-02,184.7755005,1161627000
2024-03,172.6964996,1432782800
2024-04,169.6045449,1245717000
2024-05,186.2859088,1336537700
2024-06,206.2631579,1723984500
2024-07,224.598637,1153099800
2024-08,221.6381815,1122667000
2024-09,223.7580009,1232140300
2024-10,230.0560873,930736000
2024-11,227.8104988,891640600
2024-12,249.3228564,977916100
2025-01,243.8550034,70693053
Grand Total,24.35760719,3.50E+12
